detailLink,name,peopleNumber,positionInfo,publishTime,workLocation
http://hr.tencent.com/position_detail.php?id=30741&keywords=&tid=0&lid=0,SNG01-QQ产品运营支撑组长（深圳）,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30742&keywords=&tid=0&lid=0,SNG01-手机QQ-android开发工程师（深圳）,2,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30747&keywords=&tid=0&lid=0,16811-IP制作人（影视方向）,2,产品/项目类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=30748&keywords=&tid=0&lid=0,16811-IP品牌经理（深圳）,1,市场类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30708&keywords=&tid=0&lid=0,OMG236-社区运营经理（深圳）,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30711&keywords=&tid=0&lid=0,OMG236-腾讯视频平台产品经理（深圳）,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30680&keywords=&tid=0&lid=0,15570-新RPG手游高级系统策划（深圳）,2,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30513&keywords=&tid=0&lid=0,WXG08-122 微信搜索数据挖掘算法工程师（北京）,2,技术类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=30106&keywords=&tid=0&lid=0,WXG08-113 微信搜索后台开发高级工程师（深圳）,2,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30120&keywords=&tid=0&lid=0,23048-翻译君语音合成算法高级工程师,1,技术类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=29585&keywords=&tid=0&lid=0,MIG09-QQ浏览器前端技术组长,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=29587&keywords=&tid=0&lid=0,MIG03-测试开发工程师（广州）,1,技术类,2017-08-31,广州
http://hr.tencent.com/position_detail.php?id=29594&keywords=&tid=0&lid=0,TEG11-战略商业分析经理（深圳）,1,市场类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=28941&keywords=&tid=0&lid=0,SA-腾讯社交广告ADX产品运营经理,1,产品/项目类,2017-08-31,上海
http://hr.tencent.com/position_detail.php?id=28440&keywords=&tid=0&lid=0,SNG06-企鹅电竞后台开发工程师（深圳）,5,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=28959&keywords=&tid=0&lid=0,SNG03-社群产品运营经理（深圳）,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=28802&keywords=&tid=0&lid=0,SNG04-手Q高级产品经理（内容策略）（上海）,1,产品/项目类,2017-08-31,上海
http://hr.tencent.com/position_detail.php?id=28922&keywords=&tid=0&lid=0,WXG05-115 前端开发工程师(广州),1,技术类,2017-08-31,广州
http://hr.tencent.com/position_detail.php?id=28171&keywords=&tid=0&lid=0,HY2-运营开发高级工程师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=28434&keywords=&tid=0&lid=0,SNG06-QQ内容后台开发工程师（深圳）,3,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=28193&keywords=&tid=0&lid=0,SA-腾讯社交广告后台开发工程师微信广告方向（深圳）,2,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=28195&keywords=&tid=0&lid=0,SNG08-QQ空间前台开发工程师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=28316&keywords=&tid=0&lid=0,TEG11-语音平台开发工程师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=28170&keywords=&tid=0&lid=0,HY2-运营开发高级工程师（上海）,1,技术类,2017-08-31,上海
http://hr.tencent.com/position_detail.php?id=28179&keywords=&tid=0&lid=0,HY2-高级运营开发工程师PHP（上海）,1,技术类,2017-08-31,上海
http://hr.tencent.com/position_detail.php?id=27329&keywords=&tid=0&lid=0,SNG04-高级策略算法工程师(上海),1,技术类,2017-08-31,上海
http://hr.tencent.com/position_detail.php?id=27627&keywords=&tid=0&lid=0,SNG04-看点公众号数据挖掘工程师,1,技术类,2017-08-31,上海
http://hr.tencent.com/position_detail.php?id=28139&keywords=&tid=0&lid=0,OMG236-腾讯直播iOS开发组组长（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=26386&keywords=&tid=0&lid=0,HY2-运维工程师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=27466&keywords=&tid=0&lid=0,SA-腾讯社交广告Java后台开发工程师（北京）,1,技术类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=27008&keywords=&tid=0&lid=0,21226-商业分析师（深圳）,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=26824&keywords=&tid=0&lid=0,21645-腾讯互联网金融法律专家（金融理财合规方向）,1,职能类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=26072&keywords=&tid=0&lid=0,20762-高级政务合作经理(北京),1,职能类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=25180&keywords=&tid=0&lid=0,SNG03-互动视频客户端开发工程师（深圳）,2,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=25184&keywords=&tid=0&lid=0,SNG03-在线教育web前端开发工程师（深圳）,3,技术类,2017-08-31,深圳
